OBJECTID,ID,CODIGO_DANE,NOMBRE,ULTIMO_TIPO_ACTO_ADMIN,ULTIMO_NUMERO_ACTO_ADMIN,ULTIMA_FECHA_ACTO_ADMIN,AREA_TOTAL_ACTOS_ADMIN,ULTIMO_NUMERO_PLANO,PUEBLO,DEPARTAMENTO,MUNICIPIO,GlobalID
69,10532,1375,Resguardo Indígena Awa de Ramos - Mongon - Manchuria,RESOLUCION,0029,1992/07/13 00:00:00+00,4782.5,P-198.843,AWA,52,52612,{AC9172A6-5C7F-4984-B2BE-D0D3EE18F1C3}
70,10493,1371,Resguardo Indígena Cuaiquuier de los parajes Cuambi y Yaslambi,RESOLUCION,0051,1983/07/21 00:00:00+00,3000,SIN INFORMACION,AWA,52,52612,{3FB2C88B-B3C9-4216-AE08-8CAC7CEE16D6}
71,10798,1861,Resguardo Indígena Korodo-Ite,RESOLUCION,100,2019/10/28 00:00:00+00,75.1104,SIN INFORMACION,EMBERA CHAMI,05,05604,{07493270-C71E-4E58-8E8C-4F555BCFC5DB}
72,10558,1722,Resguardo Indígena Awa de Bellavista,RESOLUCION,0020,2005/09/15 00:00:00+00,910.0869,10-0-00025 de abril de 2005,AWA,86,86320,{46451236-12C5-40B6-AE36-92A9F403B685}
73,10685,1803,Resguardo Indígena Mesas De San Juan,ACUERDO,209,2021/12/20 00:00:00+00,50.2573,ACCTI 732171253,PIJAO,73,73217,{9FD770D2-6848-41CE-9124-DC5E7BB29300}
74,10234,1585,Resguardo Indígena Yukpa de Caño Padilla,RESOLUCION,12,2000/06/29 00:00:00+00,92.9373,L-145.918,YUKPA,20,20621,{A06C9ECE-2871-4258-91A2-C7F25F7560EB}
75,10716,1445,Resguardo Indígena Cañon Del Sanquinini,RESOLUCION,0043,1992/08/03 00:00:00+00,2938,P-466.240 de marzo de 1992,EMBERA CHAMI KATIO,76,76100,{C8194830-2DFE-4D16-B596-A3FA819B3141}
76,10093,1061,Resguardo Indígena Guahibo Macarieros,RESOLUCION,0014,1985/02/20 00:00:00+00,16.65,P-198.547,GUAHIBO,81,81794,{0903705E-FC86-46B4-837D-DE3DF611E801}
77,10731,1580,Resguardo Indígena Paez de Parraga  - Nasa tha,RESOLUCION,0084,1999/12/09 00:00:00+00,189.475,G-601.562,PAEZ,76,76275,{AC2B0663-C8EA-4689-85DD-1635D120DCFC}
78,10030,1387,Resguardo Indígena Embera- Katio de Choromando Alto y Medio,RESOLUCION,31,1998/11/30 00:00:00+00,3035,I-569.270,EMBERA KATIO,05,05234,{B69DB5FB-99C4-44C2-A934-308186A399AF}
79,11631,,Resguardo Indígena Agua Blanca Piedra Verde del pueblo Awá,RESOLUCION,507,2025/08/20 00:00:00+00,28.3132,ACCTI023863204071,,86,86320,{7140F80C-9226-445F-9898-8ECC3BD24850}
80,10686,1806,Resguardo Indígena Nataroco,ACUERDO,0360,2015/04/29 00:00:00+00,288.3,000919PS73483,PIJAO,73,73483,{875F80E6-2895-4C68-B29F-E5E3AE5A2D97}
81,10508,1686,Resguardo Indígena Awa de Inda Zabaleta,RESOLUCION,331,2014/02/20 00:00:00+00,6534.3252,10-0-01195 de noviembre de 2010,AWA,52,52835,{A6898650-0FD5-4A2B-A5D7-AF83591704C5}
82,10035,1660,Resguardo Indígena Embera Drua,RESOLUCION,0002,2003/04/10 00:00:00+00,17.0062,I-651.450 DE JU NIO DE 2002,EMBERA,05,DABEIBA,{B606D529-0D4D-458B-AAF0-BF0794658BAE}
83,10188,1667,Resguardo Indígena Inga de La Floresta - La Española,RESOLUCION,0009,2003/04/10 00:00:00+00,126.4948,R-647.047,INGA,19,19533,{81CDC051-1072-48E3-8604-2E6BFC7ADB66}
84,10360,1262,Resguardo Indígena Emebera Yarumal y El Barranco,RESOLUCION,0042,1992/08/03 00:00:00+00,5030,P-466.150,EMBERA,27,27615,{3B53657F-32BB-4F72-BA93-7FB8048327BC}
85,10849,,Resguardo Indígena Gua´uwa Rawri´uwa,ACUERDO,481,2025/05/27 00:00:00+00,9.8595,ACCTI023851362188,U'WA,85,85136,{811FF262-B353-4B2A-9420-ED823D67E865}
86,10061,1039,Resguardo Indígena Zenu Del Volao,RESOLUCION,0079,1992/12/18 00:00:00+00,363.6862,I-425.975,ZENÚ,05,05490,{28097CBD-B91A-4491-A969-E0B2304CED6D}
87,10577,1404,Resguardo Indígena El Tablero,RESOLUCION,0066,1987/09/16 00:00:00+00,4336,"G.295,555 Junio de 1986",SIONA KOFAN INGA HUITOTO,86,86573,{30A9EC6C-A99C-4709-AF18-D181DE067E27}
88,10624,1435,Resguardo Indígena  Pijao de Aico,RESOLUCION,0019,1997/10/03 00:00:00+00,493.95,I_578667,PIJAO,73,73504,{4D289191-8D02-4697-AE78-F4A152941E44}
89,10702,1425,Resguardo Indígena Pijao Totarco - Piedras,RESOLUCION,0005,1997/04/14 00:00:00+00,469.1569,I-551-699,PIJAO,73,73217,{ABBD5239-1029-4DE7-B750-D8677EBC4753}
90,10555,1706,Resguardo Indígena Awa De Cañaveral,RESOLUCION,0014,2003/07/22 00:00:00+00,1981.711,B-647.134,AWA,86,86320,{117F768F-0757-415B-93B9-DE6BAB7DDED0}
91,10283,1587,Resguardo Indígena Embera-Chami de La Cristalina,RESOLUCION,0014,2000/06/29 00:00:00+00,12536.78,I-598.755 de noviembre de 1999,EMBERA CHAMI,27,27245,{E311FDF1-B815-4485-A955-2765001C9896}
92,10425,1635,Resguardo Indígena Guambiano y Paez de La Reforma,RESOLUCION,131,2020/08/27 00:00:00+00,226.969,ACCTI 41396619 - 413966120,PAEZ Y GUAMBIANO,41,41396,{F6F09B23-5C47-49D5-B696-966DB5EDC06B}
93,10297,1599,"Resguardo Indígena Embera y Waunan de ""Nussí Purrú""",RESOLUCION,0035,2000/10/03 00:00:00+00,19527.825,P-466.469 de junio de 1995,EMBERA WAUNANA,27,27372,{66B6E51B-6CBC-4538-B633-48CA4F497D27}
94,11104,SIN INFORMACION,Resguardo Indígena Runakuna Kutin Urkuman Quin,ACUERDO,367,2024/04/29 00:00:00+00,158.6957,ACCTI 02363302233,YANACONA,63,63302,{516DBDF8-ABC1-4EA0-81C5-C8B4BEF3A8DB}
95,11090,1911,Resguardo Indígena Awá La Turbia,ACUERDO,246,2022/12/12 00:00:00+00,661.1475,ACCTI 86885615,AWA,86,86885,{8579C23C-E812-4332-9CEA-92A2F62C0557}
96,10454,1317,Resguardo Indígena Wayuu de Provincial,ACUERDO,0085,1988/09/26 00:00:00+00,447.6423,G-314-174,WAYUU,44,44078,{BEF616F1-A996-40F5-9770-028DE0F2396F}
97,10366,1271,Resguardo Indígena Zenú de San Andres De Sotavento,ACUERDO,234,2010/12/23 00:00:00+00,11911.8903,no registra,ZENÚ,23,23670,{D5962372-B01D-4A2F-8B5E-7A860781D225}
98,10459,1810,Resguardo Indígena Wopomuin Junain Maikou,ACUERDO,0366,2015/05/05 00:00:00+00,810.4453,015913AE44430,WAYUU,44,44430,{3E474227-F75C-492A-BBCD-BD9E940FC88D}
99,10479,1339,Resguardo Indígena Sikuani De Iwiwi,RESOLUCION,0002,1991/01/28 00:00:00+00,2885,P-466.051,SIKUANI,50,50568,{534AB227-4BB5-4659-BF5E-D6186192CAED}
100,10605,1730,"Resguardo Indígena Paez de Santa Rosa Juanambu, Campo Alegre, Alpes Orientales, La Floresta Alto Coqueto.",ACUERDO,0044,2006/01/25 00:00:00+00,1588.0843,10-0-00031,PAEZ,86,86885,{8E8DD20C-B432-4846-A860-8FDF714D11AC}
101,10562,1723,Resguardo Indígena Awa De Caicedonia,ACUERDO,0027,2005/09/15 00:00:00+00,1009.805,514554,AWA,86,86320,{7AA44355-F511-4B34-869C-23D6F7E03CBF}
102,10240,1187,Resguardo Indígena Yuco de Socorpa,RESOLUCION,50,1983/07/21 00:00:00+00,25000,no registra,YUCO YUKPA,20,20045,{35976699-E253-4E93-B2CE-CA98E803F80D}
103,10483,1828,Resguardo Indígena Naexil Put,ACUERDO,0030,2017/08/31 00:00:00+00,385.114,01106AE50450,JIW,50,50450,{4759CDC1-B585-4FDE-838A-D1DA93A0DA72}
104,10251,1198,Resguardo Indígena Waunana de Bellavista y Union Pitalito,RESOLUCION,13,2003/04/10 00:00:00+00,30328.5995,I-630.431,EMBERA WAUNANA,27,27077,{77A5930E-5297-4344-9088-0A3A1A9E63F7}
105,11027,SIN ASIGNAR,Resguardo Indígena San Sebastian del Pueblo Pastos,ACUERDO,357,2024/04/05 00:00:00+00,57.3598,ACCTI 865681747,PASTOS,86,86568,{CB0C6652-F4E3-4775-A293-29C02F99064A}
106,10357,1699,Resguardo Indígena Embera de Urada Jiguamiando,RESOLUCION,7,2003/07/22 00:00:00+00,19744.586,630-444,EMBERA,27,27150,{13F1FA76-550F-4BC8-B7A6-15580A923C2A}
107,10639,1566,Resguardo Indígena Pijao Chenche Media Luna,RESOLUCION,0040,1999/05/31 00:00:00+00,200.0365,P-466.713 de diciembre de 1998,PIJAO,73,73217,{BB2080DD-E905-4179-9BA4-D5BE63528644}
108,10554,1721,Resguardo Indígena Embera Chami de Alto Orito,RESOLUCION,0019,2005/09/15 00:00:00+00,9731.7764,10-0-00020,EMBERA CHAMI,86,86320,{031666BD-2C1F-4244-8E99-BACEE359A648}
109,10184,1170,Resguardo Indígena Quizgo (Kizgo),RESOLUCION,129,2020/08/27 00:00:00+00,4282.785,P-425.664/P-466.293,PAEZ,19,19743,{A8651780-AC39-498F-9829-3ACA817E1F25}
110,10754,1499,Resguardo Indígena Guahibo de Guacamayas y Maipore,RESOLUCION,0052,1990/07/23 00:00:00+00,17000,P-466.033,GUAHIBO,99,99001,{AA44AA23-079F-4F41-98A9-0934AF26CE3C}
111,10428,1734,Resguardo Indígena Guambiano de Nam Misak,ACUERDO,382,2024/08/13 00:00:00+00,895.3703,ACCTI 02441378482,MISAK ,41,41396,{44308BD0-A94D-410B-8E0D-4C2060F2C540}
112,10635,1711,Resguardo Indígena Pijao de Chenche Balsillas,RESOLUCION,211,2010/06/01 00:00:00+00,260.8422,10-0-00228,PIJAO,73,73217,{EF6C7378-5584-4C0B-91D6-0EED8631426A}
113,10189,1539,Resguardo Indígena Paez de La Gaitana,RESOLUCION,0011,1999/05/21 00:00:00+00,116.15,G-555.23,PAEZ,19,19355,{B32D77BA-8C81-4217-A87C-2ECA32C3CB79}
114,10181,1179,Resguardo Indígena de Jebala,RESOLUCION,510,2025/08/20 00:00:00+00,650.523,ACCTI02419844133 - ACCTI024198244138 ,NASA PAEZ,19,19824,{62A08664-2274-4230-B893-AB9524B729F8}
115,10273,1246,"Resguardo Indígena Embera-Katio de Playalta, El Veinte y El Noventa",RESOLUCION,295,2012/11/29 00:00:00+00,4977.3288,10-0-00426,EMBERA KATIO,27,27001,{6449EC97-7799-43FD-9504-99BEA5F86440}
116,10145,1769,Witack Kiwe,ACUERDO,0235,2010/12/23 00:00:00+00,76.6854,no registra,NASA,18,18592,{5BCC5BB1-3988-4908-851D-7A55EC3EEEF8}
117,11851,,Resguardo Indígena Rural de Mateo Pérez del Pueblo Zenú,RESOLUCION,495,2025/07/30 00:00:00+00,2.7575,ACCTI023706704034,ZENÚ,70,70670,{26EB2E3A-ACC0-4C52-BA45-332A9D11818F}
118,10374,1467,Resguardo Indígena Guahibo  de Carpintero-  Palomas,RESOLUCION,0004,1987/01/21 00:00:00+00,40680,P-198.631 de febrero de 1986,GUAHIBO,94,94001,{CCB475AC-EE40-4BA0-A71A-DBAD3327EE26}
119,10585,1386,Resguardo Indígena Sibundoy (Kamëntsa Biya De Sibundoy),RESOLUCION,4,2015/12/21 00:00:00+00,42625.4581,017629AE86749,KAMSA,86,86749,{3BBB6AFF-F17A-415C-83B7-0A0F816D0A47}
120,10316,1242,Resguardo Indígena Embera del Rio Ame,RESOLUCION,0079,1990/12/17 00:00:00+00,3512,466087,EMBERA,27,27001,{7E28F934-B9D2-4D40-BFAD-65E5DBF42100}
